1位	  4,148,333,700pt
2位	  3,861,626,930pt
3位	  3,310,661,820pt
9位	  2,188,137,950pt
10位	  1,731,935,620pt
11位	  1,476,632,740pt
19位	  805,958,450pt
20位	  763,187,600pt
99位	  589,227,950pt
100位	  577,346,650pt
499位	  93,332,060pt
500位	  93,293,320pt
999位	  61,496,160pt
1000位	  61,298,480pt
1999位	  35,572,330pt
2000位	  35,540,310pt
2999位	  25,618,320pt
3000位	  25,616,260pt
4999位	  15,440,400pt
5000位	  15,440,210pt
9999位	  4,288,200pt
10000位	  4,288,140pt
2021/10/08 20:27	ART MUSEUMﾎﾟｲﾝﾄ :  		ISO8601:2021-10-08T20:27:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
