1位	  3,365,879,470pt
2位	  2,562,900,990pt
3位	  2,153,438,850pt
9位	  1,007,124,500pt
10位	  1,001,290,580pt
11位	  935,886,770pt
19位	  555,713,310pt
20位	  532,428,540pt
99位	  303,556,500pt
100位	  303,260,520pt
499位	  65,586,050pt
500位	  65,560,500pt
999位	  39,736,800pt
1000位	  39,729,750pt
1999位	  20,465,640pt
2000位	  20,446,670pt
2999位	  13,439,900pt
3000位	  13,430,350pt
4999位	  6,714,840pt
5000位	  6,714,530pt
9999位	  953,600pt
10000位	  952,440pt
2021/03/22 10:51	BEAT OUTﾎﾟｲﾝﾄ :  		ISO8601:2021-03-22T10:51:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
