1位	  971,810,930pt
2位	  613,392,780pt
3位	  574,937,800pt
9位	  341,086,500pt
10位	  338,812,160pt
11位	  321,451,530pt
19位	  209,291,520pt
20位	  204,956,090pt
99位	  79,983,670pt
100位	  78,049,190pt
499位	  25,240,050pt
500位	  25,215,740pt
999位	  13,131,120pt
1000位	  13,118,050pt
1999位	  4,686,560pt
2000位	  4,681,420pt
2999位	  1,963,200pt
3000位	  1,962,200pt
4999位	  442,110pt
5000位	  441,760pt
10000位	1320pt(同順位補正)
2021/01/23 00:42	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-23T00:42:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
