1位	  12,959,895,080pt
2位	  8,766,765,390pt
3位	  7,060,182,110pt
9位	  3,441,015,570pt
10位	  3,322,908,950pt
11位	  2,980,090,510pt
19位	  1,165,200,990pt
20位	  1,155,357,740pt
99位	  580,925,560pt
100位	  563,760,970pt
499位	  159,612,950pt
500位	  159,539,630pt
999位	  87,510,320pt
1000位	  87,481,020pt
1999位	  37,429,980pt
2000位	  37,427,840pt
2999位	  24,547,870pt
3000位	  24,532,820pt
4999位	  12,171,990pt
5000位	  12,167,800pt
9999位	  1,502,910pt
10000位	  1,502,740pt
2021/01/29 00:01	BECOME A NEW MAN!ﾎﾟｲﾝﾄ :  		ISO8601:2021-01-29T00:01:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
