1位	  313,351,830pt
2位	  228,899,670pt
3位	  215,362,470pt
9位	  144,269,570pt
10位	  131,222,440pt
11位	  126,091,260pt
19位	  100,658,060pt
20位	  96,154,600pt
99位	  45,113,470pt
100位	  44,620,800pt
499位	  14,266,440pt
500位	  14,187,300pt
999位	  6,829,600pt
1000位	  6,821,940pt
1999位	  2,376,620pt
2000位	  2,374,480pt
2999位	  835,810pt
3000位	  834,400pt
4990位	  205,980pt
5000位	204660pt(同順位補正)
10000位	null(同順位補正)
2021/05/09 20:54	ｺﾞﾝﾄﾞﾘｴｰﾚﾎﾟｲﾝﾄ :  		ISO8601:2021-05-09T20:54:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
