1位	  2,209,903,640pt
2位	  2,080,254,800pt
3位	  1,434,487,800pt
9位	  757,298,990pt
10位	  753,593,260pt
11位	  673,517,280pt
19位	  464,363,600pt
20位	  458,337,860pt
99位	  183,182,300pt
100位	  182,507,840pt
499位	  53,844,420pt
500位	  53,800,160pt
999位	  31,410,340pt
1000位	  31,403,230pt
1999位	  16,010,480pt
2000位	  16,005,990pt
2999位	  10,064,440pt
3000位	  10,061,270pt
4999位	  4,788,440pt
5000位	  4,787,440pt
9999位	  622,990pt
10000位	  622,950pt
2021/05/11 23:46	ｺﾞﾝﾄﾞﾘｴｰﾚﾎﾟｲﾝﾄ :  		ISO8601:2021-05-11T23:46:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
