1位	  3,190,096pt
2位	  2,585,540pt
3位	  2,240,395pt
9位	  727,300pt
10位	  706,288pt
11位	  610,229pt
19位	  303,178pt
20位	  287,010pt
21位	  285,676pt
29位	  214,475pt
30位	  209,302pt
149位	  55,998pt
150位	  55,970pt
499位	  19,025pt
500位	  18,998pt
1000位	  9,995pt
1999位	  5,175pt
2000位	  5,160pt
2989位	  2,370pt
2989位	  2,370pt
2989位	  2,370pt
2989位	  2,370pt
2989位	  2,370pt
2989位	  2,370pt
2999位	  2,355pt
3000位	  2,350pt
5000位	null(同順位補正)
8000位	null(同順位補正)
2021/06/08 18:11	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-06-08T18:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
