1位	  18,490,520pt
2位	  8,856,695pt
3位	  5,651,480pt
9位	  3,894,350pt
10位	  3,804,042pt
11位	  3,295,550pt
19位	  2,494,399pt
20位	  2,368,473pt
21位	  2,306,185pt
29位	  1,901,575pt
30位	  1,898,721pt
149位	  672,451pt
150位	  667,139pt
499位	  201,728pt
500位	  201,609pt
999位	  117,955pt
1000位	  117,890pt
1999位	  77,339pt
2000位	  77,280pt
2999位	  57,960pt
3000位	  57,950pt
4990位	  36,540pt
4999位	  36,480pt
4999位	  36,480pt
5000位	36480pt(同順位補正)
7990位	  17,660pt
8000位	17620pt(同順位補正)
2021/05/19 13:24	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-05-19T13:24:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
