1位	  393,756,700pt
2位	  301,092,800pt
3位	  292,342,370pt
9位	  200,026,240pt
10位	  189,964,320pt
11位	  176,581,740pt
19位	  139,267,820pt
20位	  132,809,380pt
99位	  65,402,760pt
100位	  65,037,090pt
499位	  21,506,980pt
500位	  21,493,850pt
999位	  10,666,600pt
1000位	  10,652,240pt
1999位	  4,109,360pt
2000位	  4,108,000pt
2999位	  1,793,020pt
2999位	  1,793,020pt
3000位	1793020pt(同順位補正)
4999位	  378,730pt
5000位	  378,620pt
10000位	null(同順位補正)
2021/05/24 22:10	ﾊﾑｽﾀｰｶﾌｪﾎﾟｲﾝﾄ :  		ISO8601:2021-05-24T22:10:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
