1位	  2,551,207,070pt
2位	  2,225,086,870pt
3位	  2,191,054,840pt
9位	  822,470,290pt
10位	  770,318,600pt
11位	  736,135,500pt
19位	  595,312,000pt
20位	  529,102,330pt
99位	  237,478,810pt
100位	  237,184,210pt
499位	  70,339,120pt
500位	  70,308,120pt
999位	  39,711,450pt
1000位	  39,658,060pt
1999位	  18,122,010pt
2000位	  18,116,470pt
2999位	  11,080,540pt
3000位	  11,076,280pt
4999位	  4,939,160pt
5000位	  4,937,240pt
9990位	  576,980pt
9999位	  574,880pt
10000位	  574,850pt
2021/05/26 17:15	ﾊﾑｽﾀｰｶﾌｪﾎﾟｲﾝﾄ :  		ISO8601:2021-05-26T17:15:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
