1位	  4,177,110,300pt
2位	  3,647,260,360pt
3位	  3,370,600,220pt
9位	  1,288,822,670pt
10位	  1,147,423,700pt
11位	  1,058,887,630pt
19位	  751,781,750pt
20位	  744,762,580pt
99位	  361,860,600pt
100位	  359,467,200pt
499位	  102,592,290pt
500位	  102,367,360pt
999位	  59,220,480pt
1000位	  59,138,320pt
1999位	  26,557,400pt
2000位	  26,556,300pt
2999位	  17,270,360pt
3000位	  17,270,320pt
4999位	  8,447,520pt
5000位	  8,444,740pt
9999位	  1,357,390pt
10000位	  1,357,220pt
2021/05/27 23:48	ﾊﾑｽﾀｰｶﾌｪﾎﾟｲﾝﾄ :  		ISO8601:2021-05-27T23:48:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
