1位	  15,423,340pt
2位	  10,465,857pt
3位	  9,848,405pt
9位	  4,940,610pt
10位	  4,885,525pt
11位	  4,755,085pt
19位	  4,119,470pt
20位	  3,908,400pt
21位	  3,849,965pt
29位	  3,239,215pt
30位	  3,117,050pt
149位	  1,432,302pt
150位	  1,431,127pt
499位	  602,950pt
500位	  602,535pt
999位	  318,735pt
1000位	  318,521pt
1999位	  202,078pt
2000位	  202,005pt
2999位	  148,900pt
3000位	  148,860pt
5000位	  92,600pt
7990位	  45,685pt
7990位	  45,685pt
7999位	  45,610pt
7999位	  45,610pt
8000位	45610pt(同順位補正)
2021/04/12 11:19	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-04-12T11:19:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
