1位	  662,163,770pt
2位	  233,624,190pt
3位	  226,353,090pt
9位	  78,790,390pt
10位	  65,485,500pt
11位	  62,541,100pt
19位	  42,885,420pt
20位	  41,840,330pt
99位	  14,153,960pt
100位	  14,130,960pt
499位	  4,586,130pt
500位	  4,582,700pt
999位	  2,606,660pt
1000位	  2,600,850pt
1999位	  1,261,010pt
2000位	  1,260,970pt
2999位	  686,350pt
3000位	  686,320pt
4999位	  326,960pt
5000位	  326,900pt
9999位	  57,140pt
10000位	  57,120pt
2021/09/01 18:12	WHITE-H HACKERﾎﾟｲﾝﾄ :  		ISO8601:2021-09-01T18:12:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
