1位	  1,180,125,530pt
2位	  435,587,830pt
3位	  400,075,440pt
9位	  162,588,580pt
10位	  151,908,840pt
11位	  148,383,960pt
19位	  76,910,340pt
20位	  76,584,580pt
99位	  26,149,900pt
100位	  26,142,060pt
499位	  8,817,410pt
500位	  8,813,590pt
999位	  5,272,550pt
1000位	  5,267,080pt
1999位	  2,754,320pt
2000位	  2,753,810pt
2999位	  1,678,700pt
3000位	  1,678,190pt
4999位	  735,530pt
5000位	  735,440pt
9999位	  152,830pt
9999位	  152,830pt
10000位	152830pt(同順位補正)
2021/09/02 17:20	WHITE-H HACKERﾎﾟｲﾝﾄ :  		ISO8601:2021-09-02T17:20:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
