1位	  4,128,061,532pt
2位	  2,644,506,163pt
3位	  2,019,962,506pt
9位	  1,082,671,691pt
10位	  1,022,318,717pt
11位	  982,911,334pt
19位	  582,111,791pt
20位	  562,469,459pt
99位	  201,823,258pt
100位	  201,379,263pt
499位	  44,681,247pt
500位	  44,624,266pt
999位	  24,778,357pt
1000位	  24,777,230pt
1999位	  11,748,965pt
2000位	  11,736,843pt
2999位	  6,971,143pt
3000位	  6,968,580pt
4999位	  2,546,454pt
5000位	  2,544,375pt
9999位	  334,840pt
10000位	  334,761pt
2021/08/27 18:50	興行成績 :  		ISO8601:2021-08-27T18:50:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
