1位	  4,229,722,500pt
2位	  3,649,368,000pt
3位	  3,528,861,700pt
9位	  1,550,204,500pt
10位	  1,543,335,500pt
11位	  1,532,239,700pt
19位	  844,732,500pt
20位	  818,439,175pt
99位	  396,086,500pt
100位	  389,232,000pt
499位	  161,446,650pt
500位	  161,379,325pt
999位	  121,267,500pt
1000位	  121,130,050pt
1999位	  47,911,325pt
2000位	  47,909,400pt
2999位	  35,028,750pt
3000位	  35,028,500pt
4999位	  22,044,075pt
5000位	  22,038,500pt
9999位	  5,395,550pt
10000位	  5,395,500pt
2021/09/25 18:00	魔法学校ﾎﾟｲﾝﾄ :  		ISO8601:2021-09-25T18:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
