1位	  257,629,120pt
2位	  209,435,080pt
3位	  173,599,060pt
9位	  103,106,620pt
10位	  102,850,060pt
11位	  100,998,830pt
19位	  88,194,430pt
20位	  83,087,460pt
99位	  37,040,480pt
100位	  37,024,940pt
499位	  10,306,730pt
500位	  10,296,830pt
999位	  4,561,060pt
1000位	  4,558,260pt
1999位	  1,023,360pt
2000位	  1,022,500pt
2999位	  347,060pt
3000位	  347,050pt
4990位	  48,120pt
5000位	  47,760pt
10000位	null(同順位補正)
2021/07/08 20:27	Star Festivalﾎﾟｲﾝﾄ :  		ISO8601:2021-07-08T20:27:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
