1位	  3,471,353,250pt
2位	  2,989,607,670pt
3位	  2,480,210,940pt
9位	  1,721,444,610pt
10位	  1,615,852,770pt
11位	  1,434,000,720pt
19位	  650,611,550pt
20位	  646,394,250pt
99位	  210,957,670pt
100位	  205,208,370pt
499位	  63,815,680pt
500位	  63,715,510pt
999位	  39,072,270pt
1000位	  39,037,340pt
1999位	  20,344,500pt
2000位	  20,328,990pt
2999位	  12,742,180pt
3000位	  12,741,490pt
4999位	  5,978,170pt
5000位	  5,976,270pt
9999位	  587,680pt
10000位	  586,820pt
2021/07/11 11:20	Star Festivalﾎﾟｲﾝﾄ :  		ISO8601:2021-07-11T11:20:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
