1位	  510,445pt
2位	  450,910pt
3位	  436,043pt
9位	  231,685pt
10位	  208,900pt
11位	  191,469pt
19位	  119,632pt
20位	  117,530pt
21位	  116,299pt
29位	  101,500pt
30位	  99,793pt
149位	  31,574pt
150位	  31,550pt
499位	  13,230pt
500位	  13,205pt
999位	  7,460pt
999位	  7,460pt
1000位	7460pt(同順位補正)
1990位	  3,695pt
2000位	3680pt(同順位補正)
2979位	  800pt
2979位	  800pt
2979位	  800pt
2979位	  800pt
2979位	  800pt
2979位	  800pt
2979位	  800pt
2979位	  800pt
2979位	  800pt
2979位	  800pt
3000位	800pt(同順位補正)
5000位	null(同順位補正)
8000位	null(同順位補正)
2021/01/31 17:42	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-31T17:42:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
