1位	  2,509,760pt
2位	  2,445,145pt
3位	  2,386,842pt
9位	  1,065,103pt
10位	  1,036,065pt
11位	  999,610pt
19位	  751,527pt
20位	  725,365pt
21位	  717,960pt
29位	  464,302pt
30位	  459,725pt
149位	  157,624pt
150位	  156,518pt
499位	  60,690pt
500位	  60,640pt
999位	  31,805pt
1000位	  31,785pt
1990位	  17,620pt
1999位	  17,550pt
2000位	  17,535pt
3000位	  12,870pt
4990位	  7,810pt
4990位	  7,810pt
4990位	  7,810pt
5000位	7800pt(同順位補正)
7970位	  3,880pt
7970位	  3,880pt
7970位	  3,880pt
7999位	  3,860pt
7999位	  3,860pt
8000位	3860pt(同順位補正)
2021/02/01 00:11	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T00:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
