1位	  4,860,000pt
2位	  3,365,345pt
3位	  3,315,480pt
9位	  1,533,950pt
10位	  1,453,055pt
11位	  1,426,000pt
19位	  1,006,875pt
20位	  1,003,733pt
21位	  943,305pt
29位	  717,958pt
30位	  685,655pt
149位	  225,625pt
150位	  224,739pt
499位	  82,142pt
500位	  81,915pt
999位	  41,837pt
1000位	  41,832pt
1999位	  20,495pt
2000位	  20,490pt
2999位	  13,970pt
3000位	  13,960pt
4989位	  8,480pt
4989位	  8,480pt
4989位	  8,480pt
4989位	  8,480pt
5000位	  8,440pt
7999位	  4,380pt
7999位	  4,380pt
8000位	4380pt(同順位補正)
2021/01/15 00:00	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  
