1位	  7,823,460pt
2位	  5,100,100pt
3位	  4,533,045pt
9位	  2,119,779pt
10位	  2,061,205pt
11位	  2,028,355pt
19位	  1,386,835pt
20位	  1,375,417pt
21位	  1,364,505pt
29位	  1,076,145pt
30位	  1,039,175pt
149位	  343,110pt
150位	  342,985pt
499位	  126,740pt
500位	  126,669pt
999位	  70,640pt
1000位	  70,620pt
1999位	  38,124pt
2000位	  38,114pt
2999位	  26,240pt
3000位	  26,230pt
5000位	15750pt(同順位補正)
7999位	  7,510pt
7999位	  7,510pt
8000位	7510pt(同順位補正)
2021/01/15 13:00	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-15T13:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
