1位	  12,648,060pt
2位	  6,354,805pt
3位	  5,761,600pt
9位	  3,620,022pt
10位	  3,354,280pt
11位	  3,343,452pt
19位	  2,316,530pt
20位	  2,301,275pt
21位	  2,278,345pt
29位	  1,621,035pt
30位	  1,619,780pt
149位	]ミ	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  605,080pt
150位	  603,475pt
499位	  227,969pt
500位	  227,789pt
999位	  127,406pt
1000位	  127,370pt
1999位	  76,865pt
1999位	  76,865pt
2000位	76865pt(同順位補正)
2999位	  56,430pt
3000位	  56,428pt
4999位	  33,985pt
5000位	  33,980pt
8000位	  15,895pt
2021/01/16 13:16	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-01-16T13:16:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
