1位	  7,971,134,436pt
2位	  3,338,624,830pt
3位	  2,655,936,621pt
9位	  1,531,649,201pt
10位	  1,483,964,195pt
11位	  1,342,490,936pt
19位	  929,283,381pt
20位	  925,879,334pt
99位	  312,288,274pt
100位	  311,610,606pt
499位	  82,806,558pt
500位	  82,785,500pt
999位	  37,778,507pt
1000位	  37,670,561pt
1999位	  16,416,225pt
2000位	  16,403,299pt
2999位	  9,343,272pt
3000位	  9,342,787pt
4999位	  3,296,802pt
5000位	  3,294,157pt
9999位	  308,349pt
10000位	  308,004pt
2021/09/26 23:09	興行成績 :  		ISO8601:2021-09-26T23:09:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
