1位	  865,476,500pt
2位	  784,808,000pt
3位	  732,399,000pt
9位	  575,981,000pt
10位	  563,916,000pt
11位	  548,233,500pt
19位	  372,042,000pt
20位	  350,659,000pt
99位	  164,548,500pt
100位	  163,690,650pt
499位	  76,841,675pt
500位	  76,745,000pt
999位	  48,698,500pt
1000位	  48,676,775pt
1999位	  22,829,500pt
2000位	  22,814,500pt
2999位	  15,522,500pt
3000位	  15,520,875pt
4999位	  9,564,000pt
5000位	  9,561,625pt
9999位	  1,676,950pt
10000位	  1,676,600pt
2021/06/25 21:23	薙刀演舞祭ﾎﾟｲﾝﾄ :  		ISO8601:2021-06-25T21:23:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
