1位	  937,262,470pt
2位	  822,567,760pt
3位	  301,583,750pt
9位	  142,217,450pt
10位	  133,324,810pt
11位	  126,778,600pt
19位	  87,402,420pt
20位	  86,194,680pt
99位	  31,926,660pt
100位	  31,474,600pt
499位	  12,367,430pt
500位	  12,362,050pt
999位	  8,188,570pt
1000位	  8,165,960pt
1999位	  4,786,020pt
2000位	  4,783,770pt
2999位	  3,351,640pt
3000位	  3,350,580pt
4999位	  1,752,330pt
5000位	  1,752,080pt
9999位	  364,130pt
10000位	  363,950pt
2021/05/03 22:49	Mﾌｪｽ2021ﾎﾟｲﾝﾄ :  		ISO8601:2021-05-03T22:49:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
