1位	  1,692,075,140pt
2位	  1,249,126,140pt
3位	  701,039,070pt
9位	  417,724,700pt
10位	  394,975,610pt
11位	  292,278,240pt
19位	  220,261,190pt
20位	  212,494,530pt
99位	  84,921,190pt
100位	  83,143,360pt
499位	  29,917,100pt
500位	  29,916,830pt
999位	  20,576,190pt
1000位	  20,561,750pt
1999位	  11,748,150pt
2000位	  11,744,410pt
2999位	  8,491,130pt
3000位	  8,483,720pt
4999位	  4,685,310pt
5000位	  4,684,050pt
9999位	  1,157,260pt
10000位	  1,157,110pt
2021/05/08 20:18	Mﾌｪｽ2021ﾎﾟｲﾝﾄ :  		ISO8601:2021-05-08T20:18:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
