1位	  290,739,070pt
2位	  200,615,030pt
3位	  193,373,460pt
9位	  81,097,870pt
10位	  67,407,970pt
11位	  62,124,090pt
19位	  44,083,240pt
20位	  43,715,940pt
99位	  21,462,630pt
100位	  21,445,770pt
499位	  5,210,620pt
500位	  5,201,370pt
999位	  2,574,280pt
1000位	  2,566,620pt
1999位	  1,213,850pt
2000位	  1,213,840pt
2999位	  559,420pt
3000位	  559,260pt
4999位	  248,940pt
5000位	  248,810pt
9990位	  19,490pt
9990位	  19,490pt
10000位	19470pt(同順位補正)
2021/02/23 14:45	PANDA LIVEﾎﾟｲﾝﾄ :  		ISO8601:2021-02-23T14:45:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
