1位	  1,046,989,890pt
2位	  891,100,070pt
3位	  874,650,660pt
9位	  596,487,830pt
10位	  585,852,960pt
11位	  581,080,600pt
19位	  225,350,360pt
20位	  218,637,620pt
99位	  179,912,340pt
100位	  179,429,580pt
499位	  32,389,720pt
500位	  32,386,340pt
999位	  22,267,370pt
1000位	  22,237,390pt
1999位	  10,037,370pt
2000位	  10,036,860pt
2999位	  6,576,370pt
3000位	  6,574,870pt
4999位	  3,369,690pt
5000位	  3,368,470pt
9999位	  504,290pt
10000位	  504,080pt
2021/02/28 18:43	PANDA LIVEﾎﾟｲﾝﾄ :  		ISO8601:2021-02-28T18:43:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
