1位	  8,134,117,443pt
2位	  6,999,958,663pt
3位	  5,864,862,541pt
9位	  1,836,971,610pt
10位	  1,686,739,734pt
11位	  1,241,692,470pt
19位	  807,117,741pt
20位	  804,134,197pt
99位	  354,621,322pt
100位	  353,606,548pt
499位	  95,741,024pt
500位	  95,716,034pt
999位	  60,988,778pt
1000位	  60,943,494pt
1999位	  33,007,926pt
2000位	  33,005,622pt
2999位	  22,742,693pt
3000位	  22,739,314pt
4999位	  11,566,576pt
5000位	  11,557,721pt
9999位	  747,084pt
10000位	  746,136pt
2021/04/30 11:25	興行成績 :  		ISO8601:2021-04-30T11:25:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
