1位	  11,871,654,920pt
2位	  11,711,805,610pt
3位	  6,446,015,370pt
9位	  3,500,500,550pt
10位	  3,484,630,350pt
11位	  3,180,859,660pt
19位	  1,351,249,210pt
20位	  1,283,655,930pt
99位	  915,458,090pt
100位	  915,428,480pt
499位	  143,525,960pt
500位	  143,154,210pt
999位	  92,166,320pt
1000位	  91,888,330pt
1999位	  50,281,600pt
2000位	  50,276,040pt
2999位	  34,806,550pt
3000位	  34,803,530pt
4999位	  20,201,090pt
5000位	  20,199,350pt
9999位	  4,922,430pt
10000位	  4,920,320pt
2021/06/23 18:10	Rainy Nightﾎﾟｲﾝﾄ :  		ISO8601:2021-06-23T18:10:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
