1位	  618,038,540pt
2位	  548,275,040pt
3位	  504,451,630pt
9位	  225,024,450pt
10位	  211,817,870pt
11位	  194,822,380pt
19位	  108,714,090pt
20位	  99,378,870pt
99位	  32,380,070pt
100位	  32,090,210pt
499位	  10,770,120pt
500位	  10,763,260pt
999位	  5,913,550pt
1000位	  5,899,160pt
1999位	  3,029,240pt
2000位	  3,029,170pt
2999位	  1,867,880pt
3000位	  1,867,600pt
4999位	  786,000pt
5000位	  785,990pt
10000位	  162,110pt
2021/08/02 18:29	ﾛｳﾘｭｳﾎﾟｲﾝﾄ :  		ISO8601:2021-08-02T18:29:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
