1位	  368,313,830pt
2位	  367,444,950pt
3位	  301,278,000pt
9位	  207,419,740pt
10位	  203,549,490pt
11位	  177,280,970pt
19位	  142,838,740pt
20位	  139,993,040pt
99位	  71,565,470pt
100位	  71,552,510pt
499位	  20,279,330pt
500位	  20,278,480pt
999位	  9,827,630pt
1000位	  9,819,850pt
1999位	  3,218,910pt
2000位	  3,217,040pt
2999位	  1,089,260pt
2999位	  1,089,260pt
3000位	1089260pt(同順位補正)
4999位	  228,660pt
5000位	  228,510pt
10000位	null(同順位補正)
2021/04/16 22:31	海のｷﾞｬﾝｸﾞﾎﾟｲﾝﾄ :  		ISO8601:2021-04-16T22:31:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
