1位	  5,390,814,710pt
2位	  4,825,712,710pt
3位	  3,040,038,770pt
9位	  2,333,990,990pt
10位	  2,227,328,640pt
11位	  2,223,232,860pt
19位	  864,644,280pt
20位	  850,780,690pt
99位	  473,804,210pt
100位	  472,424,410pt
499位	  109,686,460pt
500位	  109,524,260pt
999位	  62,003,070pt
1000位	  61,684,660pt
1999位	  23,537,430pt
2000位	  23,508,840pt
2999位	  13,672,300pt
3000位	  13,671,540pt
4999位	  5,928,730pt
5000位	  5,926,920pt
9999位	  605,940pt
10000位	  605,730pt
2021/04/19 17:33	海のｷﾞｬﾝｸﾞﾎﾟｲﾝﾄ :  		ISO8601:2021-04-19T17:33:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
