1位	  903,093,180pt
2位	  715,417,958pt
3位	  653,562,687pt
9位	  237,805,189pt
10位	  230,306,803pt
11位	  222,627,199pt
19位	  155,756,408pt
20位	  152,321,467pt
99位	  41,978,409pt
100位	  41,818,337pt
499位	  7,783,356pt
500位	  7,759,635pt
999位	  2,852,422pt
1000位	  2,852,292pt
1999位	  827,322pt
2000位	  826,790pt
2999位	  649,377pt
3000位	  649,308pt
4999位	  297,669pt
5000位	  297,442pt
9989位	  39,000pt
9989位	  39,000pt
9989位	  39,000pt
9989位	  39,000pt
9989位	  39,000pt
9989位	  39,000pt
9989位	  39,000pt
9989位	  39,000pt
9989位	  39,000pt
10000位	  38,900pt
2021/03/01 13:45	興行成績 :  		ISO8601:2021-03-01T13:45:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
