1位	  3,713,108,253pt
2位	  2,886,350,006pt
3位	  2,676,782,343pt
9位	  1,385,558,675pt
10位	  1,316,306,453pt
11位	  1,292,740,567pt
19位	  728,142,553pt
20位	  715,437,323pt
99位	  266,383,756pt
100位	  266,352,299pt
499位	  50,634,626pt
500位	  50,495,093pt
999位	  27,339,468pt
1000位	  27,330,783pt
1999位	  12,674,272pt
2000位	  12,672,150pt
2999位	  7,366,722pt
3000位	  7,366,167pt
4999位	  2,280,954pt
5000位	  2,280,490pt
9999位	  349,165pt
10000位	  348,988pt
2021/03/04 18:22	興行成績 :  		ISO8601:2021-03-04T18:22:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
