1位	  15,297,225,937pt
2位	  10,387,715,677pt
3位	  8,117,898,827pt
9位	  5,465,867,252pt
10位	  5,179,070,762pt
11位	  4,542,163,169pt
19位	]ミ	興行成績 :  1,855,917,950pt
20位	  1,840,939,981pt
99位	  779,146,625pt
100位	  766,254,002pt
499位	  174,995,246pt
500位	  174,781,527pt
999位	  112,509,649pt
1000位	  112,428,852pt
1999位	  51,006,874pt
2000位	  50,998,289pt
2999位	  34,079,330pt
3000位	  34,073,060pt
4999位	  17,563,549pt
5000位	  17,558,182pt
9999位	  1,896,742pt
10000位	  1,893,904pt
2021/03/31 11:06	興行成績 :  		ISO8601:2021-03-31T11:06:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
