1位	  4,119,860,625pt
2位	  2,186,360,652pt
3位	  1,807,995,975pt
9位	  1,472,031,376pt
10位	  1,468,672,241pt
11位	  1,437,457,649pt
19位	  669,111,364pt
20位	  624,149,901pt
99位	  274,756,824pt
100位	  272,802,078pt
499位	  52,526,213pt
500位	  52,446,594pt
999位	  28,921,896pt
1000位	  28,852,956pt
1999位	  13,925,590pt
2000位	  13,908,339pt
2999位	  8,521,123pt
3000位	  8,520,706pt
4999位	  3,133,119pt
5000位	  3,131,439pt
9999位	  490,272pt
10000位	  489,445pt
2021/07/17 20:36	興行成績 :  		ISO8601:2021-07-17T20:36:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
