1位	  38,409,570pt
2位	  24,206,060pt
3位	  18,209,450pt
9位	  11,665,850pt
10位	  10,970,030pt
11位	  10,901,689pt
19位	  7,032,620pt
20位	  6,812,245pt
21位	  6,227,120pt
29位	  4,359,626pt
30位	  4,357,310pt
149位	  2,242,633pt
150位	  2,230,025pt
499位	  970,665pt
500位	  969,075pt
999位	  498,641pt
1000位	  498,554pt
1999位	  324,885pt
2000位	  324,835pt
2999位	  257,760pt
3000位	  257,740pt
4999位	  165,990pt
5000位	  165,928pt
7990位	  88,460pt
7999位	  88,270pt
8000位	  88,260pt
2021/07/30 17:39	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-07-30T17:39:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
