1位	  5,468,055pt
2位	  3,361,745pt
3位	  2,370,433pt
9位	  1,718,289pt
10位	  1,645,395pt
11位	  1,631,730pt
19位	  1,304,530pt
20位	  1,279,269pt
21位	  1,130,627pt
29位	  936,475pt
30位	  917,055pt
149位	  398,780pt
150位	  398,148pt
499位	  204,880pt
500位	  204,050pt
990位	  136,840pt
999位	  136,094pt
1000位	  135,968pt
1999位	  84,480pt
2000位	  84,431pt
2999位	  63,586pt
3000位	  63,585pt
4999位	  39,530pt
5000位	  39,529pt
7990位	  18,690pt
7990位	  18,690pt
7999位	  18,624pt
8000位	  18,610pt
2021/08/17 18:49	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-08-17T18:49:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
