1位	  102,219,900pt
2位	  91,314,250pt
3位	  86,415,480pt
9位	  67,832,290pt
10位	  66,918,880pt
11位	  65,606,020pt
19位	  54,017,300pt
20位	  53,687,360pt
99位	  26,782,870pt
100位	  26,486,310pt
499位	  8,499,820pt
500位	  8,483,630pt
999位	  3,655,040pt
1000位	  3,643,820pt
1999位	  889,730pt
2000位	  889,360pt
2999位	  299,300pt
3000位	  299,080pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
4990位	  32,890pt
10000位	null(同順位補正)
2021/08/07 19:24	ｻﾏｰ･ｸﾞｯﾊﾞｲﾎﾟｲﾝﾄ :  		ISO8601:2021-08-07T19:24:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
