1位	  3,151,011,260pt
2位	  2,508,571,680pt
3位	  2,495,325,180pt
9位	  1,930,136,170pt
10位	  1,924,786,440pt
11位	  1,911,412,010pt
19位	  780,691,430pt
20位	  771,471,080pt
99位	  528,898,480pt
100位	  527,271,870pt
499位	  148,696,240pt
500位	  148,502,770pt
999位	  114,365,100pt
1000位	  114,250,330pt
1999位	  61,099,170pt
2000位	  61,083,530pt
2999位	  45,468,250pt
3000位	  45,429,910pt
4999位	  26,435,600pt
5000位	  26,404,940pt
9999位	  11,077,090pt
10000位	  11,075,780pt
2021/08/15 20:51	ｻﾏｰ･ｸﾞｯﾊﾞｲﾎﾟｲﾝﾄ :  		ISO8601:2021-08-15T20:51:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
