1位	  120,380,200pt
2位	  115,158,700pt
3位	  89,093,700pt
9位	  77,441,090pt
10位	  76,033,880pt
11位	  75,884,120pt
19位	  58,290,300pt
20位	  56,445,780pt
99位	  24,304,910pt
100位	  24,216,610pt
499位	  5,512,670pt
500位	  5,487,760pt
999位	  1,741,740pt
1000位	  1,739,700pt
1990位	  349,100pt
1999位	  346,740pt
2000位	  346,500pt
2999位	  123,910pt
2999位	  123,910pt
3000位	123910pt(同順位補正)
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
4939位	  1,100pt
5000位	1100pt(同順位補正)
10000位	null(同順位補正)
2021/02/16 19:00	Suit Collectionﾎﾟｲﾝﾄ :  		ISO8601:2021-02-16T19:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
