1位	  450,823,000pt
2位	  398,608,960pt
3位	  375,310,490pt
9位	  271,050,870pt
10位	  270,008,450pt
11位	  263,506,350pt
19位	  212,608,130pt
20位	  206,046,090pt
99位	  87,606,880pt
100位	  85,765,990pt
499位	  22,677,040pt
500位	  22,625,800pt
999位	  10,963,450pt
1000位	  10,947,050pt
1999位	  4,309,710pt
2000位	  4,299,100pt
2999位	  1,948,080pt
3000位	  1,947,860pt
4999位	  540,430pt
5000位	  540,210pt
9999位	  19,300pt
10000位	  18,860pt
2021/02/17 01:27	Suit Collectionﾎﾟｲﾝﾄ :  		ISO8601:2021-02-17T01:27:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
