1位	  2,018,431,330pt
2位	  1,508,811,230pt
3位	  1,358,857,920pt
9位	  1,047,023,060pt
10位	  1,023,510,980pt
11位	  978,104,880pt
19位	  565,846,090pt
20位	  546,947,190pt
99位	  215,849,230pt
100位	  215,386,510pt
499位	  56,460,910pt
500位	  56,209,520pt
999位	  28,094,890pt
1000位	  28,070,230pt
1999位	  12,138,760pt
2000位	  12,126,960pt
2999位	  7,224,900pt
3000位	  7,223,860pt
4999位	  3,079,320pt
5000位	  3,079,160pt
9999位	  329,350pt
10000位	  329,320pt
2021/02/18 18:25	Suit Collectionﾎﾟｲﾝﾄ :  		ISO8601:2021-02-18T18:25:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
