1位	  701,197,820pt
2位	  418,751,940pt
3位	  236,507,270pt
9位	  117,977,560pt
10位	  113,103,120pt
11位	  102,628,000pt
19位	  55,113,070pt
20位	  54,212,440pt
99位	  23,907,480pt
100位	  23,701,420pt
499位	  8,597,680pt
500位	  8,585,680pt
999位	  5,418,400pt
1000位	  5,417,190pt
1999位	  3,097,750pt
2000位	  3,097,380pt
2999位	  2,034,780pt
3000位	  2,032,710pt
4999位	  979,870pt
5000位	  979,400pt
9999位	  188,020pt
9999位	  188,020pt
10000位	188020pt(同順位補正)
2021/04/03 11:53	お花見ﾎﾟｲﾝﾄ :  		ISO8601:2021-04-03T11:53:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
