1位	  1,591,535,570pt
2位	  1,187,339,070pt
3位	  674,002,480pt
9位	  363,789,640pt
10位	  356,141,220pt
11位	  301,812,420pt
19位	  137,746,260pt
20位	  136,117,730pt
99位	  82,706,640pt
100位	  82,255,930pt
499位	  24,512,860pt
500位	  24,510,260pt
999位	  18,029,520pt
1000位	  18,003,490pt
1999位	  10,054,850pt
2000位	  10,053,490pt
2999位	  6,745,040pt
3000位	  6,743,130pt
4999位	  3,668,030pt
5000位	  3,667,980pt
9999位	  694,360pt
10000位	  693,560pt
2021/04/07 18:48	お花見ﾎﾟｲﾝﾄ :  		ISO8601:2021-04-07T18:48:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
