1位	  411,330,012pt
2位	  235,299,150pt
3位	  214,829,461pt
9位	  158,541,606pt
10位	  154,021,889pt
11位	  143,778,218pt
19位	  116,493,073pt
20位	  105,005,608pt
99位	  34,579,212pt
100位	  34,052,767pt
499位	  7,638,929pt
500位	  7,626,618pt
999位	  2,049,674pt
1000位	  2,047,801pt
1999位	  607,658pt
2000位	  607,517pt
2999位	  381,320pt
3000位	  381,299pt
4999位	  88,219pt
5000位	  88,200pt
5000位	88196pt(同順位補正)
10000位	null(同順位補正)
2021/05/31 21:58	興行成績 :  		ISO8601:2021-05-31T21:58:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
