1位	  46,381,786,990pt
2位	  37,376,699,548pt
3位	  15,608,782,165pt
9位	  12,667,324,434pt
10位	  12,162,025,093pt
11位	  11,113,744,359pt
19位	  2,316,231,155pt
20位	  2,246,205,824pt
99位	  1,265,862,213pt
100位	  1,257,052,553pt
499位	  247,120,557pt
500位	  246,792,875pt
999位	  178,647,819pt
1000位	  178,433,064pt
1999位	  73,711,579pt
2000位	  73,645,213pt
2999位	  52,409,284pt
3000位	  52,390,226pt
4999位	  29,108,516pt
5000位	  29,097,104pt
9999位	  5,959,154pt
10000位	  5,954,095pt
2021/06/08 18:09	興行成績 :  		ISO8601:2021-06-08T18:09:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
