1位	  404,699,813pt
2位	  368,947,631pt
3位	  366,014,507pt
9位	  279,001,439pt
10位	  260,212,547pt
11位	  252,884,825pt
19位	  207,685,210pt
20位	  207,074,253pt
99位	  117,870,215pt
100位	  116,612,905pt
499位	  31,523,038pt
500位	  31,501,587pt
999位	  16,866,449pt
1000位	  16,845,781pt
1999位	  7,030,612pt
2000位	  7,028,387pt
2999位	  3,365,929pt
3000位	  3,364,797pt
4999位	  925,014pt
5000位	  924,920pt
9999位	  208,848pt
10000位	  208,536pt
2021/02/08 11:02	興行成績 :  		ISO8601:2021-02-08T11:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
