1位	  1,228,027,532pt
2位	  1,137,288,081pt
3位	  1,062,025,955pt
9位	  715,469,429pt
10位	  637,437,345pt
11位	  610,145,017pt
19位	  446,574,989pt
20位	  428,790,418pt
99位	  211,577,978pt
100位	  210,432,351pt
499位	  73,861,274pt
500位	  73,814,859pt
999位	  43,710,245pt
1000位	  43,695,410pt
1999位	  24,223,047pt
2000位	  24,220,331pt
2999位	  15,293,209pt
3000位	  15,278,177pt
4999位	  6,967,468pt
5000位	  6,967,298pt
9999位	  1,044,946pt
10000位	  1,044,725pt
2021/02/10 12:02	興行成績 :  		ISO8601:2021-02-10T12:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
