1位	  10,021,440pt
2位	  9,591,582pt
3位	  9,376,460pt
9位	  5,951,220pt
10位	  5,446,580pt
11位	  5,179,020pt
19位	  3,495,815pt
20位	  3,417,890pt
21位	  3,326,427pt
29位	  3,068,145pt
30位	  2,929,693pt
149位	  1,315,424pt
150位	  1,311,805pt
499位	  605,055pt
500位	  604,216pt
999位	  384,415pt
1000位	  384,295pt
1999位	  272,610pt
2000位	  272,445pt
2999位	  218,710pt
3000位	  218,699pt
4999位	  145,690pt
5000位	  145,665pt
7999位	  82,145pt
8000位	  82,135pt
2021/03/14 11:51	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-14T11:51:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
